,post,likes,sponsored,nPost,followers,followees,nIgtv,business,verified,day,month,hour_of_day,category
12805,2021-09-10_16-06-04_UTC,120,0,3806,18454,1947,4,1,0,Saturday,5,16.0,Creators & Celebrities
12808,2021-09-07_16-10-36_UTC,179,0,3806,18454,1947,4,1,0,Thursday,5,16.0,Creators & Celebrities
12809,2021-09-06_15-02-47_UTC,247,0,3806,18454,1947,4,1,0,Wednesday,5,16.0,Creators & Celebrities
12812,2021-09-03_15-52-16_UTC,156,0,3806,18454,1947,4,1,0,Monday,5,16.0,Creators & Celebrities
12813,2021-09-02_21-03-33_UTC,73,1,3806,18454,1947,4,1,0,Sunday,5,23.0,Creators & Celebrities
12814,2021-09-02_15-34-33_UTC,234,0,3806,18454,1947,4,1,0,Saturday,5,16.0,Creators & Celebrities
12815,2021-09-01_15-57-55_UTC,131,0,3806,18454,1947,4,1,0,Friday,5,21.0,Creators & Celebrities
12817,2021-08-30_16-03-48_UTC,179,0,3806,18454,1947,4,1,0,Thursday,5,16.0,Creators & Celebrities
12818,2021-08-29_22-06-02_UTC,216,0,3806,18454,1947,4,1,0,Wednesday,5,21.0,Creators & Celebrities
12820,2021-08-27_21-58-35_UTC,65,0,3806,18454,1947,4,1,0,Tuesday,5,18.0,Creators & Celebrities
12821,2021-08-27_16-06-24_UTC,223,0,3806,18454,1947,4,1,0,Monday,5,23.0,Creators & Celebrities
12822,2021-08-26_20-40-32_UTC,62,1,3806,18454,1947,4,1,0,Monday,5,17.0,Creators & Celebrities
12823,2021-08-26_15-27-51_UTC,185,0,3806,18454,1947,4,1,0,Sunday,5,23.0,Creators & Celebrities
12825,2021-08-25_16-01-56_UTC,208,0,3806,18454,1947,4,1,0,Friday,5,21.0,Creators & Celebrities
12826,2021-08-24_15-48-10_UTC,286,0,3806,18454,1947,4,1,0,Friday,5,16.0,Creators & Celebrities
12827,2021-08-23_22-18-17_UTC,59,1,3806,18454,1947,4,1,0,Thursday,5,22.0,Creators & Celebrities
12828,2021-08-23_14-49-40_UTC,167,0,3806,18454,1947,4,1,0,Thursday,5,17.0,Creators & Celebrities
12829,2021-08-22_23-25-08_UTC,252,0,3806,18454,1947,4,1,0,Wednesday,5,22.0,Creators & Celebrities
12830,2021-08-21_15-41-46_UTC,156,0,3806,18454,1947,4,1,0,Wednesday,5,16.0,Creators & Celebrities
12831,2021-08-20_15-01-44_UTC,281,0,3806,18454,1947,4,1,0,Tuesday,5,18.0,Creators & Celebrities
12832,2021-08-19_23-09-56_UTC,69,1,3806,18454,1947,4,1,0,Monday,5,22.0,Creators & Celebrities
12833,2021-08-19_15-52-30_UTC,305,0,3806,18454,1947,4,1,0,Monday,5,16.0,Creators & Celebrities
12835,2021-08-18_14-19-16_UTC,536,0,3806,18454,1947,4,1,0,Saturday,5,15.0,Creators & Celebrities
12836,2021-08-16_20-05-47_UTC,82,1,3806,18454,1947,4,1,0,Friday,5,21.0,Creators & Celebrities
